Data;Soma
2015/1;1579
2015/2;1142
2015/3;1006
2015/4;756
2015/5;827
2015/6;1216
2015/7;1219
2015/8;613
2015/9;637
2015/10;606
2015/11;678
2015/12;995
2016/1;646
2016/2;780
2016/3;1034
2016/4;1067
2016/5;1796
2016/6;1457
2016/7;1012
2016/8;864
2016/9;2012
2016/10;280
2016/11;90
2016/12;161
2017/1;161
2017/2;195
2017/3;353
2017/4;349
2017/5;402
2017/6;422
2017/7;521
2017/8;546
2017/9;669
2017/10;439
2017/11;438
2017/12;537
2018/1;415
2018/2;345
2018/3;536
2018/4;543
2018/5;427
2018/6;387
2018/7;420
2018/8;380
2018/9;355
2018/10;425
2018/11;457
2018/12;488
2019/1;398
2019/2;613
2019/3;539
2019/4;470
2019/5;364
2019/6;297
2019/7;215
2019/8;141
2019/9;70
2019/10;76
2019/11;150
2019/12;240
2020/1;181
2020/2;215
2020/3;163
2020/4;41
2020/5;76
2020/6;234
2020/7;269
2020/8;199
2020/9;233
2020/10;164
2020/11;176
2020/12;309
2021/1;249
