Data;Soma
2015/1;1234
2015/2;857
2015/3;1158
2015/4;1723
2015/5;1573
2015/6;1595
2015/7;1681
2015/8;1055
2015/9;766
2015/10;877
2015/11;1064
2015/12;1146
2016/1;742
2016/2;730
2016/3;842
2016/4;807
2016/5;801
2016/6;937
2016/7;922
2016/8;1292
2016/9;1182
2016/10;915
2016/11;564
2016/12;493
2017/1;644
2017/2;518
2017/3;773
2017/4;704
2017/5;885
2017/6;1063
2017/7;1052
2017/8;1038
2017/9;839
2017/10;874
2017/11;894
2017/12;972
2018/1;810
2018/2;554
2018/3;895
2018/4;816
2018/5;786
2018/6;654
2018/7;824
2018/8;730
2018/9;483
2018/10;598
2018/11;671
2018/12;705
2019/1;537
2019/2;214
2019/3;147
2019/4;473
2019/5;492
2019/6;416
2019/7;586
2019/8;577
2019/9;657
2019/10;595
2019/11;506
2019/12;586
2020/1;328
2020/2;269
2020/3;324
2020/4;60
2020/5;59
2020/6;143
2020/7;415
2020/8;152
2020/9;261
2020/10;133
2020/11;168
2020/12;271
2021/1;299
